轩妈	53456179.34949998	0.00272	151	0.00013	53449295.04949998	0.99987	143	0.94702	6884.3	0.00013	8	0.05298
KAM YUEN/甘源	53314732.04889987	0.00271	1517	0.00126	52991504.422199875	0.99394	1435	0.94595	323227.62669999996	0.00606	82	0.05405
麦当劳	52547340.510700025	0.00267	491	0.00041	0	0.0	0	0	52547340.510700025	1.0	491	1.0
三顿半	49169349.866000004	0.0025	61	5e-05	45463035.506	0.92462	44	0.72131	3706314.3600000003	0.07538	17	0.27869
其妙	48497994.24699995	0.00247	1569	0.0013	48426843.71359994	0.99853	1494	0.9522	71150.53340000001	0.00147	75	0.0478
李子柒	48320949.08369998	0.00246	222	0.00018	48309837.28369998	0.99977	215	0.96847	11111.8	0.00023	7	0.03153
姚生记	47292807.118399955	0.00241	292	0.00024	46644397.15339996	0.98629	278	0.95205	648409.965	0.01371	14	0.04795
每果时光	47246183.231599994	0.0024	121	0.0001	47246183.231599994	1.0	121	1.0	0	0.0	0	0
华味亨	47128284.409700066	0.0024	1738	0.00145	45165161.70060005	0.95835	1488	0.85616	1963122.7090999996	0.04165	250	0.14384
kdv	46302312.63509996	0.00235	973	0.00081	46143596.28499997	0.99657	951	0.97739	158716.3501	0.00343	22	0.02261
拉面说	46031246.8357	0.00234	685	0.00057	44772496.235700004	0.97265	659	0.96204	1258750.5999999996	0.02735	26	0.03796
Milkland/妙可蓝多	45855071.63549999	0.00233	907	0.00075	45666753.27909999	0.99589	896	0.98787	188318.3564	0.00411	11	0.01213
豆本豆	45738875.171899974	0.00233	274	0.00023	27625371.337000012	0.60398	260	0.94891	18113503.834900003	0.39602	14	0.05109
DANISA/皇冠	45062988.84159998	0.00229	411	0.00034	44579217.141599976	0.98926	403	0.98054	483771.7	0.01074	8	0.01946
XIAO GUAN TEA/小罐茶	44984144.66839999	0.00229	225	0.00019	41388020.88339999	0.92006	184	0.81778	3596123.7849999997	0.07994	41	0.18222
XIANG PIAOA/香飘飘	44792895.47390002	0.00228	918	0.00076	44100286.516500026	0.98454	879	0.95752	692608.9574	0.01546	39	0.04248
大白兔	43941223.23570005	0.00223	1035	0.00086	43779738.96070004	0.99632	1013	0.97874	161484.275	0.00368	22	0.02126
HY	42491659.0	0.00216	76	6e-05	42491659.0	1.0	73	0.96053	0.0	0.0	3	0.03947
HADAY/海天	42107442.164099745	0.00214	4271	0.00355	41534384.34379973	0.98639	4152	0.97214	573057.8203	0.01361	119	0.02786
MIGHTY/多力	41956086.81260001	0.00213	319	0.00027	41298307.2549	0.98432	296	0.9279	657779.5577	0.01568	23	0.0721
八马	41664426.5745	0.00212	709	0.00059	40602726.574499995	0.97452	687	0.96897	1061700.0	0.02548	22	0.03103
Vitasoy/维他奶	41509193.12739996	0.00211	1247	0.00104	38131052.399099976	0.91862	1211	0.97113	3378140.7283000005	0.08138	36	0.02887
holiland/好利来	41266779.90309999	0.0021	270	0.00022	31409291.8894	0.76113	234	0.86667	9857488.0137	0.23887	36	0.13333
费列罗/FERRERO ROCHER	41245500.32169999	0.0021	1146	0.00095	39957284.1129	0.96877	1112	0.97033	1288216.2088	0.03123	34	0.02967
安佳	41096843.26390001	0.00209	1184	0.00098	40974796.86790001	0.99703	1170	0.98818	122046.39600000001	0.00297	14	0.01182
枣粮先生	39902053.2933	0.00203	100	8e-05	39753222.293299995	0.99627	86	0.86	148831.0	0.00373	14	0.14
五谷磨房	39615442.589799955	0.00201	323	0.00027	39014829.94779996	0.98484	294	0.91022	600612.642	0.01516	29	0.08978
白家（白家、阿宽、川香厨房）	39613664.673999816	0.00201	3501	0.00291	39457571.83899984	0.99606	3459	0.988	156092.83499999996	0.00394	42	0.012
lindt/瑞士莲	39504613.16550001	0.00201	648	0.00054	39504613.16550001	1.0	647	0.99846	0.0	0.0	1	0.00154
藤桥牌	38904547.72610001	0.00198	141	0.00012	38873528.41110001	0.9992	127	0.90071	31019.315000000002	0.0008	14	0.09929
starbucks/星巴克	38101978.57169999	0.00194	1296	0.00108	23821614.043500014	0.62521	1011	0.78009	14280364.5282	0.37479	285	0.21991
Samyang/三养	37121582.39179996	0.00189	1505	0.00125	35874970.51269996	0.96642	1480	0.98339	1246611.8790999998	0.03358	25	0.01661
卫龙	36514673.46789999	0.00186	1291	0.00107	35133872.33989999	0.96219	1199	0.92874	1380801.128	0.03781	92	0.07126
肯德基	35461324.95570001	0.0018	831	0.00069	510681.17230000003	0.0144	23	0.02768	34950643.783400014	0.9856	808	0.97232
香先笙	34521590.267000005	0.00176	94	8e-05	34521590.267000005	1.0	94	1.0	0	0.0	0	0
元気森林	33644563.27689998	0.00171	314	0.00026	29735269.90599999	0.88381	277	0.88217	3909293.3708999995	0.11619	37	0.11783
Olivoila/欧丽薇兰	32935194.35779999	0.00168	474	0.00039	32934261.35779999	0.99997	467	0.98523	933.0	3e-05	7	0.01477
sampleman/品铺掌柜	32833047.239200003	0.00167	238	0.0002	32833047.239200003	1.0	238	1.0	0	0.0	0	0
舌里	31845868.031400017	0.00162	230	0.00019	31845093.341400016	0.99998	225	0.97826	774.69	2e-05	5	0.02174
胡姬花	31750658.845800005	0.00161	528	0.00044	31741511.145800006	0.99971	520	0.98485	9147.699999999999	0.00029	8	0.01515
百事可乐	31740940.27019998	0.00161	813	0.00068	29033619.5965	0.91471	750	0.92251	2707320.6737	0.08529	63	0.07749
Franzzi/法丽兹	30080238.505599983	0.00153	632	0.00053	30076980.005599983	0.99989	624	0.98734	3258.5	0.00011	8	0.01266
亲亲	30039911.749199994	0.00153	416	0.00035	30017789.339499995	0.99926	398	0.95673	22122.4097	0.00074	18	0.04327
QUAKER/桂格	29653014.852799978	0.00151	1520	0.00126	29218334.15699998	0.98534	1490	0.98026	434680.6958	0.01466	30	0.01974
KINGWUU	29490895.349699985	0.0015	422	0.00035	29411475.577499986	0.99731	381	0.90284	79419.77219999999	0.00269	41	0.09716
好人家	28932885.339500014	0.00147	1702	0.00142	24438149.981700014	0.84465	1683	0.98884	4494735.3578	0.15535	19	0.01116
三元	28746770.44870001	0.00146	266	0.00022	24145763.370500002	0.83995	237	0.89098	4601007.0782	0.16005	29	0.10902
glico/格力高	28622975.324199986	0.00146	1171	0.00097	22252135.798599996	0.77742	1065	0.90948	6370839.525599999	0.22258	106	0.09052
千禾	28247256.064100053	0.00144	1455	0.00121	26629898.233100038	0.94274	1311	0.90103	1617357.8310000005	0.05726	144	0.09897
郝小子	27993887.9039	0.00142	31	3e-05	26895302.3039	0.96076	19	0.6129	1098585.6	0.03924	12	0.3871
棠品	27106122.975	0.00138	134	0.00011	27106122.975	1.0	134	1.0	0	0.0	0	0
元正	26715289.133899998	0.00136	114	9e-05	26712458.133899998	0.99989	113	0.99123	2831.0	0.00011	1	0.00877
Alpenliebe/阿尔卑斯	26612231.706199985	0.00135	1209	0.00101	26373278.384499986	0.99102	1178	0.97436	238953.3217	0.00898	31	0.02564
荔园	26446844.665899996	0.00135	143	0.00012	26444796.465899996	0.99992	141	0.98601	2048.2	8e-05	2	0.01399
ORION/好丽友	26352948.180499993	0.00134	1733	0.00144	24927522.052899998	0.94591	1635	0.94345	1425426.1276000005	0.05409	98	0.05655
王饱饱	26060315.383399993	0.00133	443	0.00037	25695978.203199994	0.98602	405	0.91422	364337.1802	0.01398	38	0.08578
OCAK/欧扎克	25726826.627499998	0.00131	760	0.00063	25690222.2553	0.99858	727	0.95658	36604.3722	0.00142	33	0.04342
LEASUN FOOD/林家铺子	25725327.230600003	0.00131	513	0.00043	25587818.930600002	0.99465	472	0.92008	137508.30000000002	0.00535	41	0.07992
零趣	25358019.28729998	0.00129	2221	0.00185	25339745.962299984	0.99928	2205	0.9928	18273.325	0.00072	16	0.0072
pp/盼盼	25204814.296599958	0.00128	2570	0.00214	24727858.22799995	0.98108	2498	0.97198	476956.0686	0.01892	72	0.02802
好吃点	25156284.616199985	0.00128	815	0.00068	25074845.71619999	0.99676	776	0.95215	81438.89999999998	0.00324	39	0.04785
觅菓	25031973.255	0.00127	59	5e-05	7187922.255	0.28715	51	0.86441	17844051.0	0.71285	8	0.13559
Calbee/卡乐B	24711433.02940002	0.00126	1146	0.00095	24624445.21330002	0.99648	1070	0.93368	86987.81610000003	0.00352	76	0.06632
Milkana/百吉福	23921365.354300007	0.00122	416	0.00035	23545651.031800013	0.98429	371	0.89183	375714.3225	0.01571	45	0.10817
LEE KUM KEE/李锦记	23596383.840700004	0.0012	2397	0.00199	21891895.11010002	0.92776	2307	0.96245	1704488.7306000001	0.07224	90	0.03755
Calleton/卡尔顿	23501142.64	0.0012	148	0.00012	23488491.340000004	0.99946	145	0.97973	12651.3	0.00054	3	0.02027
Meixin/美心	23361095.7689	0.00119	347	0.00029	23359757.3029	0.99994	321	0.92507	1338.466	6e-05	26	0.07493
泓一	23348094.7021	0.00119	596	0.0005	23327115.512099996	0.9991	582	0.97651	20979.19	0.0009	14	0.02349
蜜禾	22847822.273999993	0.00116	140	0.00012	22847822.273999993	1.0	139	0.99286	0.0	0.0	1	0.00714
NONG SHIM/农心	22751388.224399995	0.00116	1430	0.00119	22401246.558399998	0.98461	1400	0.97902	350141.6660000001	0.01539	30	0.02098
俏侬	22712222.6151	0.00116	130	0.00011	22699527.2151	0.99944	119	0.91538	12695.4	0.00056	11	0.08462
Oishi/上好佳	22535770.221100006	0.00115	1227	0.00102	22192753.458600003	0.98478	1117	0.91035	343016.76249999995	0.01522	110	0.08965
WAHAHA/娃哈哈	22467288.565900013	0.00114	1687	0.0014	22313588.308200017	0.99316	1634	0.96858	153700.2577	0.00684	53	0.03142
薯小智	22400507.54	0.00114	8	1e-05	22400507.54	1.0	8	1.0	0	0.0	0	0
友臣	22345193.898000002	0.00114	653	0.00054	22308867.529300004	0.99837	644	0.98622	36326.3687	0.00163	9	0.01378
SEAMILD/西麦	22313056.86830001	0.00113	1683	0.0014	22125201.69970001	0.99158	1661	0.98693	187855.16860000003	0.00842	22	0.01307
AKOKO	22249410.023000002	0.00113	120	0.0001	22249410.023000002	1.0	108	0.9	0.0	0.0	12	0.1
Coca－Cola/可口可乐	21821614.786700018	0.00111	2657	0.00221	19645595.793900043	0.90028	2609	0.98193	2176018.9927999997	0.09972	48	0.01807
