其他	1395945099.4747467	0.08651	262443	0.21574	1299180418.8378487	0.93068	239189	0.91139	96764680.63689965	0.06932	23254	0.08861
Three Squirrels/三只松鼠	551274514.7193995	0.03416	2882	0.00237	473706278.09160006	0.85929	2074	0.71964	77568236.62780005	0.14071	808	0.28036
BE＆CHEERY/百草味	428086501.6533996	0.02653	11374	0.00935	408801179.7011001	0.95495	10184	0.89538	19285321.9523	0.04505	1190	0.10462
良品铺子	330360885.13090056	0.02047	3338	0.00274	308990104.82360035	0.93531	2171	0.65039	21370780.307299998	0.06469	1167	0.34961
伊利	279445085.61400115	0.01732	5229	0.0043	278350804.5977011	0.99608	5137	0.98241	1094281.0163000003	0.00392	92	0.01759
蒙牛	211312091.09830052	0.01309	3512	0.00289	210308228.5491005	0.99525	3413	0.97181	1003862.5492000002	0.00475	99	0.02819
肯德基	172306079.70250005	0.01068	775	0.00064	1337807.2950000002	0.00776	19	0.02452	170968272.40750003	0.99224	756	0.97548
金龙鱼	157100666.0369007	0.00974	4810	0.00395	149375918.3660006	0.95083	4658	0.9684	7724747.670900004	0.04917	152	0.0316
旺旺	109696255.75689986	0.0068	3151	0.00259	108284635.76939988	0.98713	3012	0.95589	1411619.9874999998	0.01287	139	0.04411
Nestle/雀巢	106645578.1884998	0.00661	6900	0.00567	105278250.37659979	0.98718	6783	0.98304	1367327.8118999999	0.01282	117	0.01696
麦当劳	104058135.19380002	0.00645	487	0.0004	0	0.0	0	0	104058135.19380002	1.0	487	1.0
天福茗茶	100674273.32880001	0.00624	1011	0.00083	100307761.68940003	0.99636	975	0.96439	366511.6394	0.00364	36	0.03561
比比赞	98245966.39239998	0.00609	1214	0.001	98128276.23439997	0.9988	1198	0.98682	117690.15799999998	0.0012	16	0.01318
Dove/德芙	93609181.3528	0.0058	2360	0.00194	84445983.25279999	0.90211	2330	0.98729	9163198.100000001	0.09789	30	0.01271
认养一头牛	82697307.67100003	0.00512	141	0.00012	81745690.07100002	0.98849	125	0.88652	951617.6	0.01151	16	0.11348
欧贝拉	82052463.38969992	0.00508	1236	0.00102	82028983.63659991	0.99971	1216	0.98382	23479.753099999998	0.00029	20	0.01618
海底捞	78402866.52199985	0.00486	5502	0.00452	77724224.71359988	0.99134	5427	0.98637	678641.8084	0.00866	75	0.01363
福临门	77995626.59450008	0.00483	1556	0.00128	77075058.6042001	0.9882	1406	0.9036	920567.9903000003	0.0118	150	0.0964
康师傅	75180207.08449976	0.00466	5519	0.00454	74207313.69499977	0.98706	5277	0.95615	972893.3894999998	0.01294	242	0.04385
徐福记	70682477.71229988	0.00438	5087	0.00418	70494467.83409989	0.99734	5004	0.98368	188009.87820000004	0.00266	83	0.01632
周黑鸭	70389310.44369984	0.00436	1489	0.00122	45946456.78709999	0.65275	1316	0.88381	24442853.656600006	0.34725	173	0.11619
AIRMETER	69177661.6494	0.00429	41	3e-05	69107641.6437	0.99899	37	0.90244	70020.00570000001	0.00101	4	0.09756
十月稻田	69019990.23640001	0.00428	931	0.00077	68742477.76250002	0.99598	874	0.93878	277512.4739000001	0.00402	57	0.06122
鲁花	67527766.42289996	0.00418	439	0.00036	67462445.16969997	0.99903	415	0.94533	65321.253200000014	0.00097	24	0.05467
三顿半	67229609.34	0.00417	59	5e-05	62413388.4	0.92836	43	0.72881	4816220.9399999995	0.07164	16	0.27119
农夫山泉	62638566.025099866	0.00388	2542	0.00209	62599116.409099855	0.99937	2503	0.98466	39449.61600000001	0.00063	39	0.01534
自嗨锅	60000498.72199999	0.00372	626	0.00051	57610624.32099999	0.96017	590	0.94249	2389874.401	0.03983	36	0.05751
来伊份	57898973.71589983	0.00359	2042	0.00168	55008699.70079986	0.95008	1754	0.85896	2890274.0150999976	0.04992	288	0.14104
统一	55701016.17119994	0.00345	2592	0.00213	55160531.86019995	0.9903	2512	0.96914	540484.311	0.0097	80	0.03086
ART EXHIBITION/展艺	54754606.488499954	0.00339	4130	0.0034	54039197.603899956	0.98693	4019	0.97312	715408.8845999999	0.01307	111	0.02688
holiland/好利来	53046018.626099996	0.00329	261	0.00021	41968850.5325	0.79118	227	0.86973	11077168.0936	0.20882	34	0.13027
光明（牛奶）	51704267.71019992	0.0032	816	0.00067	51233451.78579992	0.99089	757	0.9277	470815.9244	0.00911	59	0.0723
QHE+其嘉	49920402.60429999	0.00309	17	1e-05	49915040.82699999	0.99989	16	0.94118	5361.7773	0.00011	1	0.05882
奥利奥	49520375.314400084	0.00307	1764	0.00145	45958983.04420008	0.92808	1708	0.96825	3561392.2702	0.07192	56	0.03175
拉面说	47769275.27899997	0.00296	691	0.00057	43436628.490099974	0.9093	666	0.96382	4332646.7889	0.0907	25	0.03618
其妙	47346320.3124999	0.00293	1602	0.00132	47272055.716299914	0.99843	1526	0.95256	74264.5962	0.00157	76	0.04744
HADAY/海天	46349739.327799775	0.00287	4169	0.00343	45833645.60899978	0.98887	4052	0.97194	516093.7187999999	0.01113	117	0.02806
五谷磨房	44103990.7181	0.00273	311	0.00026	43260047.946600005	0.98086	281	0.90354	843942.7715	0.01914	30	0.09646
郝小子	42512543.18	0.00263	29	2e-05	42222323.1	0.99317	19	0.65517	290220.07999999996	0.00683	10	0.34483
费列罗/FERRERO ROCHER	42381459.26769999	0.00263	1141	0.00094	41979208.54769998	0.99051	1111	0.97371	402250.72	0.00949	30	0.02629
达利园	41107960.30139991	0.00255	2105	0.00173	39993252.43699991	0.97288	2018	0.95867	1114707.8643999998	0.02712	87	0.04133
柴火大院	40729708.82840001	0.00252	274	0.00023	40530609.928399995	0.99511	255	0.93066	199098.90000000002	0.00489	19	0.06934
好想你	40419292.19160003	0.0025	1892	0.00156	32869220.83440004	0.81321	1618	0.85518	7550071.357200002	0.18679	274	0.14482
Lay’s/乐事	40255117.76520001	0.00249	2211	0.00182	27030099.753300007	0.67147	2088	0.94437	13225018.011899995	0.32853	123	0.05563
安佳	39821721.02360002	0.00247	1218	0.001	39643265.38430002	0.99552	1202	0.98686	178455.63929999998	0.00448	16	0.01314
沃隆	39106606.866800025	0.00242	754	0.00062	38903985.94480003	0.99482	679	0.90053	202620.922	0.00518	75	0.09947
白家（白家、阿宽、川香厨房）	38830606.65450005	0.00241	3608	0.00297	38758559.87450005	0.99814	3566	0.98836	72046.78	0.00186	42	0.01164
ChaCheer/洽洽	38681207.45569997	0.0024	2670	0.00219	38205250.89259999	0.9877	2503	0.93745	475956.5631	0.0123	167	0.06255
豆本豆	38422315.583	0.00238	269	0.00022	24829487.103200004	0.64623	256	0.95167	13592828.479799999	0.35377	13	0.04833
